Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-02-25 20:44:44+00:00,86141342,"Scientists are increasingly concerned that the next coronavirus variant might emerge not from people, but animals, as COVID-19 likely did. https://t.co/LyExNfbxTi",24,5,7,en
2022-02-25 20:45:00+00:00,86141342,"Video shows a chaotic scene of crowds trying to flee Kyiv, Ukraine as sounds of what are believed to be gunshots are heard. https://t.co/q0DZcmUHky https://t.co/7kHeUyIDyh",62,9,28,en
2022-02-25 21:33:56+00:00,86141342,"BREAKING: U.S. will sanction Vladimir Putin, Russian Foreign Minister Lavrov, and members of the Russian national security team, White House press sec. Jen Psaki says. 

LIVE UPDATES: https://t.co/CZD2inXTzi https://t.co/GoY4jhNVKy",94,10,29,en
2022-02-25 21:37:16+00:00,86141342,"Ukrainian Pres. Zelenskyy posts selfie-style video showing himself standing outside the president’s office in central Kyiv.

In combat fatigues, Zelenskyy says Ukraine’s army is there and will win. https://t.co/FNGLtZIYLj https://t.co/BINClJ17Pp",371,16,77,en
2022-02-25 22:06:09+00:00,86141342,"Photos taken by @ABC News show emotional families waiting in frigid temperatures to cross the border from Ukraine into Slovakia, where wait times can exceed 10 hours.

An aid worker told ABC the situation becomes even worse during nighttime hours. https://t.co/RJbyRzCXGk https://t.co/YFlMBOWIAi",62,7,30,en
2022-02-25 23:25:00+00:00,86141342,#WorldNewsTonight with @DavidMuir starts in FIVE minutes. RT if you're watching! https://t.co/T4ycAx84Kt,37,11,22,en
2022-02-26 00:57:27+00:00,86141342,"SENATE CONFIRMATION: @RachelVScott joins @DavidMuir to break down what to expect in the upcoming confirmation hearings for Pres. Biden’s historic Supreme Court nominee, Judge Ketanji Brown Jackson. https://t.co/w35IennTbW https://t.co/fN3SRqYdzO",40,8,18,en
2022-02-26 01:30:00+00:00,86141342,"SANCTIONING PUTIN: The White House has announced that the U.S. will sanction Vladimir Putin, Russian Foreign Minister Lavrov, and members of the Russian national security team. @CeciliaVega reports. 
https://t.co/N6PX4MRUsI https://t.co/OU7Tl4VAn2",79,11,35,en
2022-02-26 02:40:00+00:00,86141342,"THOUSANDS FLEE FIGHTING: @MattGutmanABC is at the Ukraine-Poland border as the U.N. estimates that over 100,000 Ukrainians are on the move in the wake of the Russian invasion. https://t.co/N6PX4MAjBa https://t.co/nng87y6dzX",42,3,21,en
2022-02-26 03:00:02+00:00,86141342,"BATTLE FOR UKRAINE: The battle for Ukraine is intensifying with Russian troops closing in on Kyiv, Ukraine as men aged 18-60 are called up to fight and not allowed to leave the country. @IanPannell is there. https://t.co/N6PX4MAjBa https://t.co/R3RkEOQAkB",93,15,46,en
2022-02-26 03:30:00+00:00,86141342,HISTORIC SUPREME COURT CHOICE: Pres. Biden has nominated Judge Ketanji Brown Jackson to become the first Black woman justice. @MaryKBruce reports as the White House hopes she’ll be confirmed by Easter. https://t.co/w35IennTbW https://t.co/jPRCEy17sj,60,10,19,en
2022-02-26 04:00:00+00:00,86141342,"RELAXING MASK GUIDELINES: In new mask guidance, the CDC says based on new metrics, over 70% of Americans are now living in communities at low or medium risk and should be able to remove masks, including in schools. @ErielleReshef reports. https://t.co/7DrMLuqQX6 https://t.co/h0pakB0vH6",27,6,11,en
2022-02-26 17:28:18+00:00,86141342,"People rally in support of Ukraine in front of parliament in Tbilisi, Georgia, after the Georgian Prime Minister said he would not introduce sanctions against Russia in response to its invasion of Ukraine. https://t.co/LjnmXQfT5a https://t.co/o3s9BLfN6C",145,6,32,en
2022-02-26 18:16:03+00:00,86141342,"Russian skiers are not welcome to compete in Norway because of “violations of international law and attacks on the Ukrainian people,” the Nordic country's ski federation said. https://t.co/rzx0BGunSQ",124,4,36,en
2022-02-26 18:44:19+00:00,86141342,"The world will soon experience a steep increase in the number of devastating wildfires as a result of human activity, according to new research released by the United Nations Environment Programme. https://t.co/mKx5Nz05Xq",17,2,10,en
2022-02-26 19:16:00+00:00,86141342,Drugmakers Sanofi and GlaxoSmithKline announced Wednesday they are planning to ask regulators to authorize their new COVID-19 vaccine candidate. https://t.co/umuYMkyeb2,9,1,7,en
2022-02-26 19:37:09+00:00,86141342,"A study released this week has found that ""stand your ground"" laws, which give gun holders the right to use their weapon in public in self-defense, are actually associated with an increase in firearms homicides. https://t.co/hYcLnbqQB6",22,31,19,en
2022-02-26 19:58:01+00:00,86141342,"The Philadelphia Lodge of the Fraternal Order of Police has filed a lawsuit seeking to invalidate a city law banning officers from pulling over drivers for low-level offenses, saying the law illegally preempts existing state laws on traffic violations. https://t.co/lduvpGQyNq",10,2,6,en
2022-02-26 21:18:04+00:00,86141342,The House Oversight and Reform Committee on Friday expanded its investigation into former President Trump's handling of White House records. https://t.co/h0QPKn2ulu,74,21,17,en
2022-02-26 21:42:26+00:00,86141342,"German Chancellor Olaf Scholz announces Germany is dropping its historic position of not providing lethal military aid to conflict zones, saying Russia's ""invasion marks a turning point."" https://t.co/pziFsYyIwI https://t.co/vInImE7XvZ",160,12,35,en
2022-02-26 21:45:23+00:00,86141342,"In a televised address, President Volodymyr Zelenskyy says Ukraine is “successfully repelling” Russia’s attacks and that Kyiv and its outskirts are under the control of the Ukrainian military. https://t.co/1pHTLpf0dM https://t.co/ME5n9VdmhN",381,11,66,en
2022-02-26 21:48:21+00:00,86141342,"BREAKING: Senior U.S. official tells @ABC some Russian forces are disoriented, realizing the battles against Ukrainians are harder than they thought.

A Russian soldier was heard saying on a radio call, “We don’t know who to shoot, they all look like us.” https://t.co/AKVV4EyTtj",196,20,72,en
2022-02-26 22:10:02+00:00,86141342,"Ukrainian tanks move on a road in Lugansk region of eastern Ukraine amid Russia's invasion.

LIVE UPDATES: https://t.co/O9jViiuYog https://t.co/qQJi8pneGg",85,2,18,en
2022-02-26 22:28:03+00:00,86141342,"With more scientists predicting COVID-19 boosters will be needed each year, some are now working on combining those with the annual flu vaccine. https://t.co/zjupyrdBEI",35,9,7,en
2022-02-26 22:30:05+00:00,86141342,"Image shows damage to the upper floors of a building in Kyiv, Ukraine, after it was reportedly struck by a rocket.

LIVE UPDATES: https://t.co/xB0isxZ4mv https://t.co/ZKgonHMJqm",30,2,11,en
2022-02-26 22:55:05+00:00,86141342,#WorldNewsTonight with @WhitJohnson starts in FIVE minutes. RT if you're watching! https://t.co/EpQKSSJCmA,38,7,14,en
2022-02-26 23:04:40+00:00,86141342,"As Western allies levy increasingly harsher economic sanctions against Russia for its invasion of Ukraine, the latest target involves Russia's access to SWIFT. https://t.co/m1H27IQIaN",31,2,11,en
2022-02-26 23:24:50+00:00,86141342,Delta Air Lines has suspended its partnership with Russian national airline Aeroflot following Russia's invasion of Ukraine. https://t.co/dKpqmkHAh3,187,8,42,en
2022-02-27 00:23:31+00:00,86141342,Some bars and liquor stores think they’ve found a potent way to punish Russia for invading Ukraine: They’re pulling Russian vodka off their shelves and promoting Ukrainian brands instead. https://t.co/CXGvUCPLqg,147,9,35,en
2022-02-27 00:30:00+00:00,86141342,CYBERATTACK THREATS: Threats of cyberattacks are increasing as hackers target organizations in Ukraine. The U.S. government is urging American companies to shore up their defenses. @PierreTABC reports. https://t.co/L4x9huORyg,42,3,21,en
2022-02-27 01:28:56+00:00,86141342,"As Russia continues its invasion of Ukraine, concerns are growing now that the conflict has reached Chernobyl. https://t.co/FHG6bepTC3",37,6,14,en
2022-02-27 01:30:00+00:00,86141342,TRAYVON MARTIN: 10 YEARS LATER: Trayvon Martin’s mother speaks out while marking a decade since her son’s killing and former President Barack Obama reflects on the impact it had on America. @ztkiesch reports. https://t.co/hQMexzTiIX,46,7,21,en
2022-02-27 02:21:06+00:00,86141342,"Zelenskyy's life and career have been anything but typical compared to other international leaders, and he has faced a seemingly unending series of crises since taking office. https://t.co/FbqNWzuNCB",119,5,24,en
2022-02-27 02:40:00+00:00,86141342,RUSSIA'S ASSAULT ON KYIV: Massive explosion heard; fire breaks out outside Ukraine’s capital as Putin’s forces renew offensive. @mattgutmanABC reports. https://t.co/m4enQChHKO,60,8,35,en
2022-02-27 03:00:01+00:00,86141342,RUSSIA’S FINANCIAL SYSTEM HIT:  The United States and several of its allies announced it would target Russia's central bank and disconnect some Russian banks from a major international financial system. @maryaliceparks reports. https://t.co/BjCwTsjzLf,87,5,28,en
2022-02-27 03:30:00+00:00,86141342,"GROWING REFUGEE CRISIS: The U.N. reports more than 150,000 Ukrainians have fled to other countries, about half of them traveling to Poland. @lipoftv reports from one border crossing on the growing humanitarian crisis. https://t.co/ZnmhuFympr",70,5,32,en
