Year,Month,Trade Type,Consignment,Statistics,Value,Unit
"2020","Dec","Imports","PUERTO RICO","Value (Year-to-date)","421","HK$ Mn"
"2020","Dec","Imports","QATAR","Value (Monthly)","491","HK$ Mn"
"2020","Dec","Imports","QATAR","Value (Year-to-date)","5,232","HK$ Mn"
"2020","Dec","Imports","ROMANIA","Value (Monthly)","29","HK$ Mn"
"2020","Dec","Imports","ROMANIA","Value (Year-to-date)","310","HK$ Mn"
"2020","Dec","Imports","RUSSIA","Value (Monthly)","437","HK$ Mn"
"2020","Dec","Imports","RUSSIA","Value (Year-to-date)","8,386","HK$ Mn"
"2020","Dec","Imports","RWANDA","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","RWANDA","Value (Year-to-date)","2","HK$ Mn"
"2020","Dec","Imports","SAMOA","Value (Monthly)","-",""
"2020","Dec","Imports","SAMOA","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","SAN MARINO","Value (Monthly)","-",""
"2020","Dec","Imports","SAN MARINO","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","SAUDI ARABIA","Value (Monthly)","290","HK$ Mn"
"2020","Dec","Imports","SAUDI ARABIA","Value (Year-to-date)","2,622","HK$ Mn"
"2020","Dec","Imports","SENEGAL","Value (Monthly)","10","HK$ Mn"
"2020","Dec","Imports","SENEGAL","Value (Year-to-date)","103","HK$ Mn"
"2020","Dec","Imports","SERBIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Imports","SERBIA","Value (Year-to-date)","71","HK$ Mn"
"2020","Dec","Imports","SEYCHELLES","Value (Monthly)","4","HK$ Mn"
"2020","Dec","Imports","SEYCHELLES","Value (Year-to-date)","23","HK$ Mn"
"2020","Dec","Imports","SIERRA LEONE","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","SIERRA LEONE","Value (Year-to-date)","2","HK$ Mn"
"2020","Dec","Imports","SINGAPORE","Value (Monthly)","30,150","HK$ Mn"
"2020","Dec","Imports","SINGAPORE","Value (Year-to-date)","314,144","HK$ Mn"
"2020","Dec","Imports","SLOVAKIA","Value (Monthly)","26","HK$ Mn"
"2020","Dec","Imports","SLOVAKIA","Value (Year-to-date)","226","HK$ Mn"
"2020","Dec","Imports","SLOVENIA","Value (Monthly)","63","HK$ Mn"
"2020","Dec","Imports","SLOVENIA","Value (Year-to-date)","1,073","HK$ Mn"
"2020","Dec","Imports","SOLOMON ISLANDS","Value (Monthly)","-",""
"2020","Dec","Imports","SOLOMON ISLANDS","Value (Year-to-date)","1","HK$ Mn"
"2020","Dec","Imports","SOMALIA","Value (Monthly)","3","HK$ Mn"
"2020","Dec","Imports","SOMALIA","Value (Year-to-date)","17","HK$ Mn"
"2020","Dec","Imports","SOUTH AFRICA","Value (Monthly)","360","HK$ Mn"
"2020","Dec","Imports","SOUTH AFRICA","Value (Year-to-date)","11,318","HK$ Mn"
"2020","Dec","Imports","SOUTH SUDAN","Value (Monthly)","-",""
"2020","Dec","Imports","SOUTH SUDAN","Value (Year-to-date)","0@Mn","HK$ Mn"
"2020","Dec","Imports","SPAIN","Value (Monthly)","540","HK$ Mn"
"2020","Dec","Imports","SPAIN","Value (Year-to-date)","5,718","HK$ Mn"
"2020","Dec","Imports","SRI LANKA","Value (Monthly)","60","HK$ Mn"
"2020","Dec","Imports","SRI LANKA","Value (Year-to-date)","837","HK$ Mn"
"2020","Dec","Imports","SUDAN","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Imports","SUDAN","Value (Year-to-date)","4","HK$ Mn"
