Time,User_ID,Tweet,like_count,reply_count,retweet_count,language
2022-03-01 11:23:21+00:00,1903712426,"Roscosmos skeptical about extending ISS service life after 2024 under sanctions:
https://t.co/kFbwOkn6HW

© NASA https://t.co/apCpcJblDG",11,5,6,en
2022-03-01 11:29:26+00:00,1903712426,"No immediate plans for Putin-Zelensky talks — Kremlin spokesman:
https://t.co/RZp6JaZupE https://t.co/ljjtCi3IPk",26,5,9,de
2022-03-01 12:00:28+00:00,1903712426,"Ukraine’s tragedy is result of Western handlers condoning its criminal regime, Lavrov says:
https://t.co/OqwfvH255u https://t.co/LKScHdH0vG",87,23,42,en
2022-03-01 12:30:58+00:00,1903712426,"Risks of West’s aggression against Russia, Belarus were clear long ago — Lukashenko:
https://t.co/pk5ZYy2DTl https://t.co/ZDVovLAiRO",57,23,23,en
2022-03-01 13:00:37+00:00,1903712426,"Presence of US nuclear weapons in Europe unacceptable, Russia calls to remove it — Lavrov:
https://t.co/kJSz4dN73D https://t.co/gu9nEHNXC9",139,59,55,en
2022-03-01 13:30:13+00:00,1903712426,"Russia cannot but react to risks Ukraine may go nuclear — Lavrov:
https://t.co/1Vyz7LsujV https://t.co/JX7E5olxFY",55,27,25,en
2022-03-01 14:00:59+00:00,1903712426,"Second round of Russian-Ukrainian talks to be held on March 2 — media:
https://t.co/8AIv2XcYWo https://t.co/76tYt73jSG",52,10,35,en
2022-03-01 14:31:00+00:00,1903712426,"Kiev’s application for EU membership accepted and being considered — president’s office: 
https://t.co/5zBxgKmb0M https://t.co/ftpv6jaefY",21,10,9,en
2022-03-01 15:30:43+00:00,1903712426,"Kremlin spokesman says has no data about Russia’s losses in military operation in Ukraine:
https://t.co/QULsy00D1L https://t.co/L5ygnwJJny",52,44,28,en
2022-03-01 16:00:23+00:00,1903712426,"OSCE evacuates its observers from Donbass to Russia:
https://t.co/nWGcBNXC5d https://t.co/IulgG2JXwL",34,11,14,en
2022-03-01 16:00:24+00:00,1903712426,"Bavarian State Opera unleashes ‘cancel’ crusade against Netrebko, Gergiev:
https://t.co/VS1mGuDQt2 https://t.co/CFVoroIOV1",14,9,9,ro
2022-03-01 17:00:49+00:00,1903712426,"Russia not yet imposed response measures to Western sanctions — diplomat:
https://t.co/XP8JWh6Vr3 https://t.co/c9RoSdZIjW",48,22,21,en
2022-03-01 19:40:44+00:00,1903712426,"European Parliament adopts resolution condemning Russia’s operation in Ukraine:
https://t.co/2mhbp6enmp https://t.co/5K7AJ533uv",17,21,10,en
2022-03-02 04:05:02+00:00,1903712426,"The price for May 2022 futures contracts for Brent oil increased 5.83% on London’s ICE, to $111.09 per barrel:
https://t.co/40gZ1RZv2i https://t.co/2X24VwT3vu",15,5,7,en
2022-03-02 04:15:03+00:00,1903712426,"The US authorities are closing the country’s airspace for Russian aircraft, US President Joe Biden said in his State of the Union address to the US Congress:
https://t.co/7tTsUsOnC6 https://t.co/icwxK9ik8K",19,5,10,en
