Year,Month,Trade Type,Consignment,Statistics,Value,Unit
"2020","Dec","Total Exports","PAPUA NEW GUINEA","Value (Year-to-date)","167","HK$ Mn"
"2020","Dec","Total Exports","PARAGUAY","Value (Monthly)","124","HK$ Mn"
"2020","Dec","Total Exports","PARAGUAY","Value (Year-to-date)","1,366","HK$ Mn"
"2020","Dec","Total Exports","PERU","Value (Monthly)","354","HK$ Mn"
"2020","Dec","Total Exports","PERU","Value (Year-to-date)","2,772","HK$ Mn"
"2020","Dec","Total Exports","PHILIPPINES","Value (Monthly)","2,513","HK$ Mn"
"2020","Dec","Total Exports","PHILIPPINES","Value (Year-to-date)","29,026","HK$ Mn"
"2020","Dec","Total Exports","POLAND","Value (Monthly)","1,423","HK$ Mn"
"2020","Dec","Total Exports","POLAND","Value (Year-to-date)","14,208","HK$ Mn"
"2020","Dec","Total Exports","PORTUGAL","Value (Monthly)","180","HK$ Mn"
"2020","Dec","Total Exports","PORTUGAL","Value (Year-to-date)","2,484","HK$ Mn"
"2020","Dec","Total Exports","POSTAL PACKAGES","Value (Monthly)","156","HK$ Mn"
"2020","Dec","Total Exports","POSTAL PACKAGES","Value (Year-to-date)","1,599","HK$ Mn"
"2020","Dec","Total Exports","PUERTO RICO","Value (Monthly)","25","HK$ Mn"
"2020","Dec","Total Exports","PUERTO RICO","Value (Year-to-date)","227","HK$ Mn"
"2020","Dec","Total Exports","QATAR","Value (Monthly)","368","HK$ Mn"
"2020","Dec","Total Exports","QATAR","Value (Year-to-date)","6,057","HK$ Mn"
"2020","Dec","Total Exports","ROMANIA","Value (Monthly)","305","HK$ Mn"
"2020","Dec","Total Exports","ROMANIA","Value (Year-to-date)","3,358","HK$ Mn"
"2020","Dec","Total Exports","RUSSIA","Value (Monthly)","2,409","HK$ Mn"
"2020","Dec","Total Exports","RUSSIA","Value (Year-to-date)","29,166","HK$ Mn"
"2020","Dec","Total Exports","RWANDA","Value (Monthly)","33","HK$ Mn"
"2020","Dec","Total Exports","RWANDA","Value (Year-to-date)","534","HK$ Mn"
"2020","Dec","Total Exports","SAMOA","Value (Monthly)","8","HK$ Mn"
"2020","Dec","Total Exports","SAMOA","Value (Year-to-date)","29","HK$ Mn"
"2020","Dec","Total Exports","SAN MARINO","Value (Monthly)","0@Mn","HK$ Mn"
"2020","Dec","Total Exports","SAN MARINO","Value (Year-to-date)","2","HK$ Mn"
"2020","Dec","Total Exports","SAO TOME & PRINCIPE","Value (Monthly)","0@Mn","HK$ Mn"
